id,day,name,meal,category,item
66,Today,Cowell,Breakfast,Entrees,Cage-Free Scrambled Eggs
67,Today,Cowell,Breakfast,Clean Plate,Steamed Rice
68,Today,Cowell,Breakfast,Bakery,Apple Cinnamon Breakfast Bar
69,Today,Cowell,Breakfast,Bakery,Assorted Scones
70,Today,Cowell,Breakfast,Bakery,Lemon Blueberry Breakfast Bar
71,Today,Cowell,Breakfast,Bakery,Mocha Chip Breakfast Bar
72,Today,Cowell,Lunch,Soups,Creamy Wild Mushroom Bisque
73,Today,Cowell,Lunch,Soups,Tomato Soup
74,Today,Cowell,Lunch,Entrees,Italian Roasted Chicken
75,Today,Cowell,Lunch,Entrees,Meatless Vegan Meatballs In Red Pepper Sauce
76,Today,Cowell,Lunch,Entrees,Roasted Zucchini and Peppers
77,Today,Cowell,Lunch,Entrees,Sauteed Seasonal Vegetables
78,Today,Cowell,Lunch,Grill,Allergen Free Halal Chicken Thigh
79,Today,Cowell,Lunch,Grill,Tofu with Kosher Salt
80,Today,Cowell,Lunch,Pizza,Cheese Pizza
81,Today,Cowell,Lunch,Pizza,Veggie Supreme Pizza
82,Today,Cowell,Lunch,Clean Plate,Steamed Rice
83,Today,Cowell,Lunch,Bakery,Vegan Raspberry Granola Bars
84,Today,Cowell,Lunch,Open Bars,Bar Taqueria
85,Today,Cowell,Lunch,Open Bars,Condiments
86,Today,Cowell,Lunch,Open Bars,Corn Tortillas
87,Today,Cowell,Lunch,Open Bars,Happy Plant Vegan Chorizo Crumbles and Potatoes
88,Today,Cowell,Lunch,Open Bars,Mexican Rice
89,Today,Cowell,Lunch,Open Bars,Pork Carnitas
90,Today,Cowell,Lunch,Open Bars,Rosarita Refried Pinto Beans
91,Today,Cowell,Lunch,DH Baked,Mexican Chocolate Cookie
92,Today,Cowell,Dinner,Soups,Creamy Wild Mushroom Bisque
93,Today,Cowell,Dinner,Soups,Tomato Soup
94,Today,Cowell,Dinner,Entrees,Italian Roasted Tofu
95,Today,Cowell,Dinner,Entrees,Marinara Sauce
96,Today,Cowell,Dinner,Entrees,Polpette Italia
97,Today,Cowell,Dinner,Entrees,Roasted Brussels' Sprouts
98,Today,Cowell,Dinner,Entrees,Soft Polenta
99,Today,Cowell,Dinner,Grill,Allergen Free Halal Chicken Thigh
100,Today,Cowell,Dinner,Grill,Tofu with Kosher Salt
101,Today,Cowell,Dinner,Pizza,Cheese Pizza
102,Today,Cowell,Dinner,Pizza,Veggie Supreme Pizza
103,Today,Cowell,Dinner,Clean Plate,Steamed Rice
104,Today,Cowell,Dinner,Bakery,Chocolate Mocha Cake
105,Today,Cowell,Dinner,Bakery,Vegan Apple Cranberry Pie
106,Today,Cowell,Dinner,Open Bars,Chicken Shawarma
107,Today,Cowell,Dinner,Open Bars,Eggplant with Tomato Sauce
108,Today,Cowell,Dinner,Open Bars,Falafels
109,Today,Cowell,Dinner,Open Bars,Garlic Fries
110,Today,Cowell,Dinner,Open Bars,Original Naan
111,Today,Cowell,Dinner,Open Bars,Spiced Almond Couscous
112,Today,Cowell,Dinner,Open Bars,Tahini Sauce
113,Today,Cowell,Dinner,Open Bars,Zhoug (Jalapeno & Cilantro Salsa)
114,Today,Cowell,Late Night,Grill,Allergen Free Halal Chicken Thigh
115,Today,Cowell,Late Night,Grill,Sidewinder Fry
116,Today,Cowell,Late Night,Grill,Tofu with Kosher Salt
117,Today,Cowell,Late Night,Grill,Torta Ahogada
118,Today,Cowell,Late Night,Pizza,Cheese Pizza
119,Today,Cowell,Late Night,Pizza,Veggie Supreme Pizza
120,Today,Cowell,Late Night,Open Bars,Chicken Shawarma
121,Today,Cowell,Late Night,Open Bars,Eggplant with Tomato Sauce
122,Today,Cowell,Late Night,Open Bars,Falafels
123,Today,Cowell,Late Night,Open Bars,Garlic Fries
124,Today,Cowell,Late Night,Open Bars,Original Naan
125,Today,Cowell,Late Night,Open Bars,Spiced Almond Couscous
126,Today,Cowell,Late Night,Open Bars,Tahini Sauce
127,Today,Cowell,Late Night,DH Baked,Mexican Chocolate Cookie
128,Today,Merrill,Breakfast,Breakfast,Banana and Coconut Pancakes
129,Today,Merrill,Breakfast,Breakfast,Ham Steaks
130,Today,Merrill,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
131,Today,Merrill,Breakfast,Breakfast,Natural Bridges Tofu Scramble
132,Today,Merrill,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
133,Today,Merrill,Breakfast,Breakfast,Roasted Yukon Gold Potatoes
134,Today,Merrill,Breakfast,Entrees,Cage-Free Scrambled Eggs
135,Today,Merrill,Breakfast,Clean Plate,Steamed Rice
136,Today,Merrill,Breakfast,Bakery,Apple Cinnamon Breakfast Bar
137,Today,Merrill,Breakfast,Bakery,Assorted Scones
138,Today,Merrill,Breakfast,Bakery,Lemon Blueberry Breakfast Bar
139,Today,Merrill,Breakfast,Bakery,Mocha Chip Breakfast Bar
140,Today,Merrill,Lunch,Soups,Organic Kale and Sweet Potato Soup
141,Today,Merrill,Lunch,Soups,Portuguese Sausage and Bean Soup
142,Today,Merrill,Lunch,Entrees,Orange Glazed Chicken
143,Today,Merrill,Lunch,Entrees,Orange Glazed Gardein
144,Today,Merrill,Lunch,Entrees,Sesame Yakisoba Noodles
145,Today,Merrill,Lunch,Entrees,Steamed Bok Choy
146,Today,Merrill,Lunch,Grill,Allergen Free Halal Chicken Thigh
147,Today,Merrill,Lunch,Grill,Tofu with Kosher Salt
148,Today,Merrill,Lunch,Pizza,Cheese Pizza
149,Today,Merrill,Lunch,Pizza,Pepperoni Pizza
150,Today,Merrill,Lunch,Clean Plate,Steamed Rice
151,Today,Merrill,Lunch,Bakery,Vegan Raspberry Granola Bars
152,Today,Merrill,Lunch,Open Bars,Armenian Salad
153,Today,Merrill,Lunch,Open Bars,Harissa Roasted Chicken
154,Today,Merrill,Lunch,Open Bars,North African Bar
155,Today,Merrill,Lunch,Open Bars,Roasted Cauliflower and Almond Salad
156,Today,Merrill,Lunch,Open Bars,Spiced Almond Couscous
157,Today,Merrill,Lunch,Open Bars,Tahini Sauce
158,Today,Merrill,Lunch,Open Bars,Tzatziki Sauce
159,Today,Merrill,Lunch,DH Baked,Mexican Chocolate Cookie
160,Today,Merrill,Dinner,Soups,Organic Kale and Sweet Potato Soup
161,Today,Merrill,Dinner,Soups,Portuguese Sausage and Bean Soup
162,Today,Merrill,Dinner,Entrees,Island Beef Steak
163,Today,Merrill,Dinner,Entrees,Roasted Carrots
164,Today,Merrill,Dinner,Entrees,Spicy Gardein with Garlic & Basil
165,Today,Merrill,Dinner,Entrees,Sticky Rice
166,Today,Merrill,Dinner,Grill,Allergen Free Halal Chicken Thigh
167,Today,Merrill,Dinner,Grill,Tofu with Kosher Salt
168,Today,Merrill,Dinner,Pizza,Cheese Pizza
169,Today,Merrill,Dinner,Pizza,Pepperoni Pizza
170,Today,Merrill,Dinner,Clean Plate,Steamed Rice
171,Today,Merrill,Dinner,Bakery,Chocolate Mocha Cake
172,Today,Merrill,Dinner,Bakery,Vegan Apple Cranberry Pie
173,Today,Merrill,Dinner,Open Bars,Condiments
174,Today,Merrill,Dinner,Open Bars,Egg Noodles
175,Today,Merrill,Dinner,Open Bars,Gluten Free Rotini Pasta
176,Today,Merrill,Dinner,Open Bars,Italian Roasted Squash and Carrots
177,Today,Merrill,Dinner,Open Bars,Marinara Sauce
178,Today,Merrill,Dinner,Open Bars,Meatball Bar
179,Today,Merrill,Dinner,Open Bars,Meatballs
180,Today,Merrill,Dinner,Open Bars,Swedish Mushroom Sauce
181,Today,Merrill,Dinner,Open Bars,Vegan Meatballs
182,Today,Porter,Breakfast,Breakfast,Crispy Bacon
183,Today,Porter,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
184,Today,Porter,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
185,Today,Porter,Breakfast,Breakfast,Tempeh Chorizo with Black Bean & Corn
186,Today,Porter,Breakfast,Breakfast,Texas French Toast
187,Today,Porter,Breakfast,Breakfast,Triangle Hash Brown Patty
188,Today,Porter,Breakfast,Entrees,Cage-Free Scrambled Eggs
189,Today,Porter,Breakfast,Clean Plate,Steamed Rice
190,Today,Porter,Breakfast,Bakery,Apple Cinnamon Breakfast Bar
191,Today,Porter,Breakfast,Bakery,Assorted Scones
192,Today,Porter,Breakfast,Bakery,Lemon Blueberry Breakfast Bar
193,Today,Porter,Breakfast,Bakery,Mocha Chip Breakfast Bar
194,Today,Porter,Lunch,Soups,Chicken Tortilla Soup
195,Today,Porter,Lunch,Soups,Garden Vegetable Soup
196,Today,Porter,Lunch,Entrees,Chimichurri Roasted Chicken
197,Today,Porter,Lunch,Entrees,Grilled Chimichurri Tofu
198,Today,Porter,Lunch,Entrees,Roasted Yams
199,Today,Porter,Lunch,Grill,Allergen Free Halal Chicken Thigh
200,Today,Porter,Lunch,Grill,Tofu with Kosher Salt
201,Today,Porter,Lunch,Pizza,Cheese Pizza
202,Today,Porter,Lunch,Pizza,Gyro Pizza
203,Today,Porter,Lunch,Clean Plate,Steamed Rice
204,Today,Porter,Lunch,Open Bars,BAR Wings
205,Today,Porter,Lunch,Open Bars,BBQ Wings
206,Today,Porter,Lunch,Open Bars,Baked Beans
207,Today,Porter,Lunch,Open Bars,Condiments
208,Today,Porter,Lunch,Open Bars,Hawaiian Coleslaw
209,Today,Porter,Lunch,Open Bars,Hot 'N Spicy Wings
210,Today,Porter,Lunch,Open Bars,Teriyaki Glazed Wings
211,Today,Porter,Lunch,Open Bars,Vegan Tenders
212,Today,Porter,Lunch,DH Baked,Mexican Chocolate Cookie
213,Today,Porter,Dinner,Soups,Fire Roasted Corn Soup
214,Today,Porter,Dinner,Soups,Organic Vegan Chili
215,Today,Porter,Dinner,Entrees,Black Beans with Garlic
216,Today,Porter,Dinner,Entrees,Roast Pork Loin with Parsley and Shallot Sauce
217,Today,Porter,Dinner,Entrees,Roasted Brussels Sprouts
218,Today,Porter,Dinner,Grill,Allergen Free Halal Chicken Thigh
219,Today,Porter,Dinner,Grill,Tofu with Kosher Salt
220,Today,Porter,Dinner,Clean Plate,Steamed Rice
221,Today,Porter,Dinner,Bakery,Chocolate Mocha Cake
222,Today,Porter,Dinner,Bakery,Vegan Apple Cranberry Pie
223,Today,Porter,Dinner,Open Bars,Bar Indian
224,Today,Porter,Dinner,Open Bars,Basmati Rice Pullao
225,Today,Porter,Dinner,Open Bars,Chana Masala
226,Today,Porter,Dinner,Open Bars,Chicken Tikka Masala
227,Today,Porter,Dinner,Open Bars,Dal Saag
228,Today,Porter,Dinner,Open Bars,Original Naan
229,Today,Porter,Dinner,Open Bars,Potato Samosas
230,Today,Porter,Late Night,Entrees,Cage-Free Scrambled Eggs
231,Today,Porter,Late Night,Entrees,Sausage Links
232,Today,Porter,Late Night,Entrees,Tater Tots
233,Today,Porter,Late Night,Grill,Allergen Free Halal Chicken Thigh
234,Today,Porter,Late Night,Grill,Tofu with Kosher Salt
235,Today,Porter,Late Night,Pizza,Cheese Pizza
236,Today,Porter,Late Night,Pizza,Pepperoni Pizza
237,Today,Porter,Late Night,Open Bars,Bar Indian
238,Today,Porter,Late Night,Open Bars,Basmati Rice Pullao
239,Today,Porter,Late Night,Open Bars,Chana Masala
240,Today,Porter,Late Night,Open Bars,Chicken Tikka Masala
241,Today,Porter,Late Night,Open Bars,Dal Saag
242,Today,Porter,Late Night,Open Bars,Original Naan
243,Today,Porter,Late Night,Open Bars,Potato Samosas
244,Tomorrow,Nine,Breakfast,Breakfast,Cajun Roasted Red Potatoes
245,Tomorrow,Nine,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
246,Tomorrow,Nine,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
247,Tomorrow,Nine,Breakfast,Breakfast,Sausage Links
248,Tomorrow,Nine,Breakfast,Breakfast,Texas French Toast
249,Tomorrow,Nine,Breakfast,Breakfast,Thai Tofu Scramble
250,Tomorrow,Nine,Breakfast,Entrees,Cage-Free Scrambled Eggs
251,Tomorrow,Nine,Breakfast,Clean Plate,Steamed Rice
252,Tomorrow,Nine,Lunch,Soups,Garden Vegetable Soup
253,Tomorrow,Nine,Lunch,Soups,Hearty Beef Chili
254,Tomorrow,Nine,Lunch,Entrees,Black Beans with Cumin Spice
255,Tomorrow,Nine,Lunch,Entrees,Cumin Roasted Carrot
256,Tomorrow,Nine,Lunch,Entrees,Happy Plant Tostada
257,Tomorrow,Nine,Lunch,Entrees,Mexican Rice
258,Tomorrow,Nine,Lunch,Entrees,Sauteed Rainbow Chard with Garlic Oil
259,Tomorrow,Nine,Lunch,Pizza,Asian Spicy Chicken Pizza
260,Tomorrow,Nine,Lunch,Pizza,Cheese Pizza
261,Tomorrow,Nine,Lunch,Clean Plate,Allergen Free Halal Chicken Thigh
262,Tomorrow,Nine,Lunch,Clean Plate,Steamed Rice
263,Tomorrow,Nine,Lunch,Clean Plate,Tofu with Kosher Salt
264,Tomorrow,Nine,Lunch,Bakery,Bakery Coconut Almond Magic Bar
265,Tomorrow,Nine,Lunch,Open Bars,Beef For Pho
266,Tomorrow,Nine,Lunch,Open Bars,Condiments
267,Tomorrow,Nine,Lunch,Open Bars,Pho Rice Noodle
268,Tomorrow,Nine,Lunch,Open Bars,Steamed Bok Choy
269,Tomorrow,Nine,Lunch,Open Bars,Tofu For Pho
270,Tomorrow,Nine,Lunch,Open Bars,Vietnamese Pho Broth
271,Tomorrow,Nine,Lunch,Open Bars,Vietnamese Pho Noodle Bar
272,Tomorrow,Nine,Dinner,Soups,Garden Vegetable Soup
273,Tomorrow,Nine,Dinner,Soups,Hearty Beef Chili
274,Tomorrow,Nine,Dinner,Entrees,Grilled Balsamic Tofu
275,Tomorrow,Nine,Dinner,Entrees,Roasted Brussels' Sprouts
276,Tomorrow,Nine,Dinner,Entrees,Roasted Yukon Gold Potatoes
277,Tomorrow,Nine,Dinner,Entrees,Rosemary Roasted Pork Loin
278,Tomorrow,Nine,Dinner,Pizza,Asian Spicy Chicken Pizza
279,Tomorrow,Nine,Dinner,Pizza,Cheese Pizza
280,Tomorrow,Nine,Dinner,Clean Plate,Allergen Free Halal Chicken Thigh
281,Tomorrow,Nine,Dinner,Clean Plate,Steamed Rice
282,Tomorrow,Nine,Dinner,Clean Plate,Tofu with Kosher Salt
283,Tomorrow,Nine,Dinner,Bakery,Apricot Cake
284,Tomorrow,Nine,Dinner,Bakery,Red Velvet Cake
285,Tomorrow,Nine,Dinner,Open Bars,Authentic Spanish Rice
286,Tomorrow,Nine,Dinner,Open Bars,Baja Fish For Tacos
287,Tomorrow,Nine,Dinner,Open Bars,Baja Taco Bar
288,Tomorrow,Nine,Dinner,Open Bars,Caramelized Chipotle Tofu
289,Tomorrow,Nine,Dinner,Open Bars,Charro Beans
290,Tomorrow,Nine,Dinner,Open Bars,Corn Tortillas
291,Tomorrow,Nine,Dinner,Open Bars,"Flour Tortilla 6"""
292,Tomorrow,Nine,Late Night,Grill,Allergen Free Halal Chicken Thigh
293,Tomorrow,Nine,Late Night,Grill,Tofu with Kosher Salt
294,Tomorrow,Nine,Late Night,Pizza,Asian Spicy Chicken Pizza
295,Tomorrow,Nine,Late Night,Pizza,Cheese Pizza
296,Tomorrow,Nine,Late Night,Open Bars,Authentic Spanish Rice
297,Tomorrow,Nine,Late Night,Open Bars,Baja Fish For Tacos
298,Tomorrow,Nine,Late Night,Open Bars,Baja Taco Bar
299,Tomorrow,Nine,Late Night,Open Bars,Caramelized Chipotle Tofu
300,Tomorrow,Nine,Late Night,Open Bars,Charro Beans
301,Tomorrow,Nine,Late Night,Open Bars,Corn Tortillas
302,Tomorrow,Nine,Late Night,Open Bars,"Flour Tortilla 6"""
303,Tomorrow,Cowell,Breakfast,Breakfast,Blueberry Whole Wheat Pancakes
304,Tomorrow,Cowell,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
305,Tomorrow,Cowell,Breakfast,Breakfast,Mexican Chorizo Sausage
306,Tomorrow,Cowell,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
307,Tomorrow,Cowell,Breakfast,Breakfast,Triangle Hash Brown Patty
308,Tomorrow,Cowell,Breakfast,Breakfast,Vegan Happy Scramble
309,Tomorrow,Cowell,Breakfast,Entrees,Cage-Free Scrambled Eggs
310,Tomorrow,Merrill,Breakfast,Breakfast,Cinnamon Roasted Butternut Squash
311,Tomorrow,Merrill,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
312,Tomorrow,Merrill,Breakfast,Breakfast,Orange French Toast
313,Tomorrow,Merrill,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
314,Tomorrow,Merrill,Breakfast,Breakfast,"Tempeh, Black Bean and Potato Hash"
315,Tomorrow,Merrill,Breakfast,Breakfast,Turkey Sausage Patties
316,Tomorrow,Merrill,Breakfast,Entrees,Cage-Free Scrambled Eggs
317,Tomorrow,Merrill,Breakfast,Clean Plate,Steamed Rice
318,Tomorrow,Merrill,Breakfast,Bakery,Blueberry Oat Bran Breakfast Bar
319,Tomorrow,Merrill,Breakfast,Bakery,Lemon Poppyseed Breakfast Bar
320,Tomorrow,Merrill,Breakfast,Bakery,Zucchini Bread
321,Tomorrow,Merrill,Lunch,Soups,Chicken and Pork Sausage Gumbo
322,Tomorrow,Merrill,Lunch,Soups,Sweet & Sour Mushroom Soup
323,Tomorrow,Merrill,Lunch,Entrees,Brown Basmati Rice
324,Tomorrow,Merrill,Lunch,Entrees,Kim Chi (Korean Spicy Fermented Cabbage)
325,Tomorrow,Merrill,Lunch,Entrees,Steamed Broccoli
326,Tomorrow,Merrill,Lunch,Entrees,Stir Fry Beef and Broccoli
327,Tomorrow,Merrill,Lunch,Entrees,Tofu with Kosher Salt
328,Tomorrow,Merrill,Lunch,Grill,Allergen Free Halal Chicken Thigh
329,Tomorrow,Merrill,Lunch,Grill,Tofu with Kosher Salt
330,Tomorrow,Merrill,Lunch,Pizza,Cheese Pizza
331,Tomorrow,Merrill,Lunch,Pizza,New Orleans Pizza
332,Tomorrow,Merrill,Lunch,Clean Plate,Steamed Rice
333,Tomorrow,Merrill,Lunch,Bakery,Bakery Coconut Almond Magic Bar
334,Tomorrow,Merrill,Lunch,Open Bars,BAR Boardwalk Burgers
335,Tomorrow,Merrill,Lunch,Open Bars,Beef Burger
336,Tomorrow,Merrill,Lunch,Open Bars,Caramelized Onions
337,Tomorrow,Merrill,Lunch,Open Bars,Chili con Carne
338,Tomorrow,Merrill,Lunch,Open Bars,Hamburger Bun
339,Tomorrow,Merrill,Lunch,Open Bars,Sauteed Mushrooms
340,Tomorrow,Merrill,Lunch,Open Bars,Steak Cut Fries
341,Tomorrow,Merrill,Lunch,Open Bars,Vegan Malibu Burger Patty
342,Tomorrow,Merrill,Lunch,DH Baked,Vegan Chocolate Chip Cookie
343,Tomorrow,Merrill,Dinner,Soups,Chicken and Pork Sausage Gumbo
344,Tomorrow,Merrill,Dinner,Soups,Sweet & Sour Mushroom Soup
345,Tomorrow,Merrill,Dinner,Entrees,Cilantro Lime Chicken
346,Tomorrow,Merrill,Dinner,Entrees,Lemon Rice
347,Tomorrow,Merrill,Dinner,Entrees,Stir Fry Vegetables
348,Tomorrow,Merrill,Dinner,Entrees,Teriyaki Tofu
349,Tomorrow,Merrill,Dinner,Grill,Allergen Free Halal Chicken Thigh
350,Tomorrow,Merrill,Dinner,Grill,Tofu with Kosher Salt
351,Tomorrow,Merrill,Dinner,Pizza,Cheese Pizza
352,Tomorrow,Merrill,Dinner,Pizza,New Orleans Pizza
353,Tomorrow,Merrill,Dinner,Clean Plate,Steamed Rice
354,Tomorrow,Merrill,Dinner,Bakery,Apricot Cake
355,Tomorrow,Merrill,Dinner,Bakery,Red Velvet Cake
356,Tomorrow,Merrill,Dinner,Open Bars,Bar Taqueria
357,Tomorrow,Merrill,Dinner,Open Bars,Condiments
358,Tomorrow,Merrill,Dinner,Open Bars,Corn Tortillas
359,Tomorrow,Merrill,Dinner,Open Bars,"Flour Tortilla 6"""
360,Tomorrow,Merrill,Dinner,Open Bars,Happy Plant Vegan Chorizo Crumbles and Potatoes
361,Tomorrow,Merrill,Dinner,Open Bars,Mexican Rice
362,Tomorrow,Merrill,Dinner,Open Bars,Rosarita Refried Pinto Beans
363,Tomorrow,Merrill,Dinner,Open Bars,Taqueria Chicken
364,Tomorrow,Merrill,Dinner,Open Bars,Taqueria Ground Beef
365,Tomorrow,Merrill,Dinner,DH Baked,Vegan Chocolate Chip Cookie
366,Tomorrow,Porter,Breakfast,Breakfast,Buttermilk Pancakes
367,Tomorrow,Porter,Breakfast,Breakfast,Chicken Apple Sausage
368,Tomorrow,Porter,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
369,Tomorrow,Porter,Breakfast,Breakfast,Harissa Potatoes
370,Tomorrow,Porter,Breakfast,Breakfast,Natural Bridges Tofu Scramble
371,Tomorrow,Porter,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
372,Tomorrow,Porter,Breakfast,Entrees,Cage-Free Scrambled Eggs
373,Tomorrow,Porter,Breakfast,Clean Plate,Steamed Rice
374,Tomorrow,Porter,Breakfast,Bakery,Blueberry Oat Bran Breakfast Bar
375,Tomorrow,Porter,Breakfast,Bakery,Lemon Poppyseed Breakfast Bar
376,Tomorrow,Porter,Breakfast,Bakery,Zucchini Bread
377,Tomorrow,Porter,Lunch,Soups,Chicken Noodle Soup
378,Tomorrow,Porter,Lunch,Soups,Lentil & Lemon Soup
379,Tomorrow,Porter,Lunch,Entrees,Orange Glazed Chicken
380,Tomorrow,Porter,Lunch,Entrees,Orange Glazed Gardein
381,Tomorrow,Porter,Lunch,Entrees,Roasted Green Beans in Garlic Oil
382,Tomorrow,Porter,Lunch,Grill,Allergen Free Halal Chicken Thigh
383,Tomorrow,Porter,Lunch,Grill,Tofu with Kosher Salt
384,Tomorrow,Porter,Lunch,Pizza,Cheese Pizza
385,Tomorrow,Porter,Lunch,Pizza,Thai Chicken Pizza
386,Tomorrow,Porter,Lunch,Clean Plate,Steamed Rice
387,Tomorrow,Porter,Lunch,Open Bars,Bar Pasta
388,Tomorrow,Porter,Lunch,Open Bars,Cheese Ravioli
389,Tomorrow,Porter,Lunch,Open Bars,Cheesy Garlic Bread Sticks
390,Tomorrow,Porter,Lunch,Open Bars,Condiments
391,Tomorrow,Porter,Lunch,Open Bars,Gluten Free Rotini Pasta
392,Tomorrow,Porter,Lunch,Open Bars,Marinara Sauce
393,Tomorrow,Porter,Lunch,Open Bars,Penne
394,Tomorrow,Porter,Lunch,Open Bars,Pesto Cream Sauce
395,Tomorrow,Porter,Lunch,Open Bars,Sauteed Rainbow Chard with Garlic Oil
396,Tomorrow,Porter,Lunch,DH Baked,Vegan Chocolate Chip Cookie
397,Tomorrow,Porter,Dinner,Soups,Chicken Noodle Soup
398,Tomorrow,Porter,Dinner,Soups,Lentil & Lemon Soup
399,Tomorrow,Porter,Dinner,Entrees,Roasted Green Beans in Garlic Oil
400,Tomorrow,Porter,Dinner,Entrees,Spicy Gardein with Garlic & Basil
401,Tomorrow,Porter,Dinner,Entrees,Steamed Basmati Rice
402,Tomorrow,Porter,Dinner,Grill,Allergen Free Halal Chicken Thigh
403,Tomorrow,Porter,Dinner,Grill,Tofu with Kosher Salt
404,Tomorrow,Porter,Dinner,Clean Plate,Steamed Rice
405,Tomorrow,Porter,Dinner,Bakery,Apricot Cake
406,Tomorrow,Porter,Dinner,Bakery,Red Velvet Cake
407,Tomorrow,Porter,Dinner,Open Bars,Black Beans with Cumin Spice
